"","name_","integer_","total_","na_count_","median_","min_","max_","stain","mutuality"
"1","outfocus_numberofobjects","TRUE","8216","55","14","0","3010","all","TRUE"
"2","infocus_numberofobjects","TRUE","8216","55","73","0","5590","hoescht","TRUE"
"3","infocus_intensity_nucleus_alexa488_mean_mean","FALSE","8216","136","711","255","6920","h2ax","TRUE"
"4","infocus_intensity_nucleus_alexa488_mean_stdev","FALSE","8216","225","337","2.8","11400","h2ax","TRUE"
"5","infocus_intensity_cell_mitotrackerdeepred_mean_mean","FALSE","8216","136","3480","670","41700","mito","TRUE"
"6","infocus_intensity_cell_mitotrackerdeepred_mean_stdev","FALSE","8216","225","1330","13.7","33000","mito","TRUE"
"7","infocus_nucleus_hoechst_ser_spot_1px_mean","FALSE","8216","136","0.0209","0.00595","0.0544","hoescht","TRUE"
"8","infocus_nucleus_hoechst_ser_spot_1px_stdev","FALSE","8216","225","0.00547","0.0000494","0.0203","hoescht","TRUE"
"9","infocus_nucleus_hoechst_ser_hole_1px_mean","FALSE","8216","136","0.00405","0","0.00883","hoescht","TRUE"
"10","infocus_nucleus_hoechst_ser_hole_1px_stdev","FALSE","8216","225","0.00213","0","0.00713","hoescht","TRUE"
"11","infocus_nucleus_hoechst_ser_edge_1px_mean","FALSE","8216","136","0.191","0.0817","0.351","hoescht","TRUE"
"12","infocus_nucleus_hoechst_ser_edge_1px_stdev","FALSE","8216","225","0.0438","0.000177","0.18","hoescht","TRUE"
"13","infocus_nucleus_hoechst_ser_ridge_1px_mean","FALSE","8216","136","0.027","0.0118","0.0722","hoescht","TRUE"
"14","infocus_nucleus_hoechst_ser_ridge_1px_stdev","FALSE","8216","225","0.00637","0.0000536","0.0399","hoescht","TRUE"
"15","infocus_nucleus_hoechst_ser_valley_1px_mean","FALSE","8216","136","0.0355","0.0049","0.0642","hoescht","TRUE"
"16","infocus_nucleus_hoechst_ser_valley_1px_stdev","FALSE","8216","225","0.0121","0.0000406","0.0376","hoescht","TRUE"
"17","infocus_nucleus_hoechst_ser_saddle_1px_mean","FALSE","8216","136","0.0501","0.0132","0.0861","hoescht","TRUE"
"18","infocus_nucleus_hoechst_ser_saddle_1px_stdev","FALSE","8216","225","0.0144","0.0000886","0.0553","hoescht","TRUE"
"19","infocus_nucleus_hoechst_ser_bright_1px_mean","FALSE","8216","136","0.0417","0.0166","0.0916","hoescht","TRUE"
"20","infocus_nucleus_hoechst_ser_bright_1px_stdev","FALSE","8216","225","0.00958","0.0000539","0.0451","hoescht","TRUE"
"21","infocus_nucleus_hoechst_ser_dark_1px_mean","FALSE","8216","136","0.0341","0.00424","0.0627","hoescht","TRUE"
"22","infocus_nucleus_hoechst_ser_dark_1px_stdev","FALSE","8216","225","0.0115","0.0000573","0.0349","hoescht","TRUE"
"23","infocus_nucleus_alexa488_ser_spot_1px_mean","FALSE","8216","136","0.0152","0.00647","0.0349","h2ax","TRUE"
"24","infocus_nucleus_alexa488_ser_spot_1px_stdev","FALSE","8216","225","0.00458","0.00000635","0.0195","h2ax","TRUE"
"25","infocus_nucleus_alexa488_ser_hole_1px_mean","FALSE","8216","136","0.00664","0.000244","0.0128","h2ax","TRUE"
"26","infocus_nucleus_alexa488_ser_hole_1px_stdev","FALSE","8216","225","0.00246","0.0000442","0.013","h2ax","TRUE"
"27","infocus_nucleus_alexa488_ser_edge_1px_mean","FALSE","8216","136","0.0999","0.0248","0.372","h2ax","TRUE"
"28","infocus_nucleus_alexa488_ser_edge_1px_stdev","FALSE","8216","225","0.0403","0.0000124","0.188","h2ax","TRUE"
"29","infocus_nucleus_alexa488_ser_ridge_1px_mean","FALSE","8216","136","0.0217","0.00986","0.055","h2ax","TRUE"
"30","infocus_nucleus_alexa488_ser_ridge_1px_stdev","FALSE","8216","225","0.0059","0.0000284","0.0286","h2ax","TRUE"
"31","infocus_nucleus_alexa488_ser_valley_1px_mean","FALSE","8216","136","0.0244","0.00615","0.0894","h2ax","TRUE"
"32","infocus_nucleus_alexa488_ser_valley_1px_stdev","FALSE","8216","225","0.012","0.00000972","0.0685","h2ax","TRUE"
"33","infocus_nucleus_alexa488_ser_saddle_1px_mean","FALSE","8216","136","0.0285","0.00885","0.0942","h2ax","TRUE"
"34","infocus_nucleus_alexa488_ser_saddle_1px_stdev","FALSE","8216","225","0.0119","0.000006","0.0631","h2ax","TRUE"
"35","infocus_nucleus_alexa488_ser_bright_1px_mean","FALSE","8216","136","0.0321","0.0143","0.0772","h2ax","TRUE"
"36","infocus_nucleus_alexa488_ser_bright_1px_stdev","FALSE","8216","225","0.00886","0.000119","0.0371","h2ax","TRUE"
"37","infocus_nucleus_alexa488_ser_dark_1px_mean","FALSE","8216","136","0.0274","0.0069","0.0806","h2ax","TRUE"
"38","infocus_nucleus_alexa488_ser_dark_1px_stdev","FALSE","8216","225","0.0118","0.0000387","0.0609","h2ax","TRUE"
"39","infocus_cell_mitotrackerdeepred_ser_spot_1px_mean","FALSE","8216","136","0.0168","0.00576","0.0602","mito","TRUE"
"40","infocus_cell_mitotrackerdeepred_ser_spot_1px_stdev","FALSE","8216","225","0.0044","0.0000382","0.0413","mito","TRUE"
"41","infocus_cell_mitotrackerdeepred_ser_hole_1px_mean","FALSE","8216","136","0.00911","0","0.0245","mito","TRUE"
"42","infocus_cell_mitotrackerdeepred_ser_hole_1px_stdev","FALSE","8216","225","0.00318","0","0.0314","mito","TRUE"
"43","infocus_cell_mitotrackerdeepred_ser_edge_1px_mean","FALSE","8216","136","0.131","0.0274","0.412","mito","TRUE"
"44","infocus_cell_mitotrackerdeepred_ser_edge_1px_stdev","FALSE","8216","225","0.0373","0.00168","0.29","mito","TRUE"
"45","infocus_cell_mitotrackerdeepred_ser_ridge_1px_mean","FALSE","8216","136","0.0288","0.00892","0.0817","mito","TRUE"
"46","infocus_cell_mitotrackerdeepred_ser_ridge_1px_stdev","FALSE","8216","225","0.00688","0.0000295","0.0441","mito","TRUE"
"47","infocus_cell_mitotrackerdeepred_ser_valley_1px_mean","FALSE","8216","136","0.0303","0.00621","0.14","mito","TRUE"
"48","infocus_cell_mitotrackerdeepred_ser_valley_1px_stdev","FALSE","8216","225","0.0107","0.0000277","0.171","mito","TRUE"
"49","infocus_cell_mitotrackerdeepred_ser_saddle_1px_mean","FALSE","8216","136","0.0331","0.00953","0.116","mito","TRUE"
"50","infocus_cell_mitotrackerdeepred_ser_saddle_1px_stdev","FALSE","8216","225","0.0094","0.0000141","0.0976","mito","TRUE"
"51","infocus_cell_mitotrackerdeepred_ser_bright_1px_mean","FALSE","8216","136","0.0399","0.0137","0.123","mito","TRUE"
"52","infocus_cell_mitotrackerdeepred_ser_bright_1px_stdev","FALSE","8216","225","0.00932","0.0000235","0.0516","mito","TRUE"
"53","infocus_cell_mitotrackerdeepred_ser_dark_1px_mean","FALSE","8216","136","0.035","0.0073","0.14","mito","TRUE"
"54","infocus_cell_mitotrackerdeepred_ser_dark_1px_stdev","FALSE","8216","225","0.0115","0.000158","0.178","mito","TRUE"
"55","infocus_regression_a_b_mean","FALSE","8216","136","-1.74","-12.5","-0.0114","comb","TRUE"
"56","infocus_regression_a_b_stdev","FALSE","8216","225","1.06","0.00673","7.13","comb","TRUE"
"57","infocus_intensity_nucleus_alexa488_mean_2_mean","FALSE","8216","136","711","255","6920",NA,"FALSE"
"58","infocus_intensity_nucleus_alexa488_mean_2_stdev","FALSE","8216","225","337","2.8","11400",NA,"FALSE"
"59","infocus_intensity_nucleus_alexa488_stdev_mean","FALSE","8216","136","227","24.7","3310","h2ax","TRUE"
"60","infocus_intensity_nucleus_alexa488_stdev_std_dev","FALSE","8216","225","195","1.15","5620","h2ax","TRUE"
"61","infocus_intensity_nucleus_alexa488_median_mean","FALSE","8216","136","683","254","7130","h2ax","TRUE"
"62","infocus_intensity_nucleus_alexa488_median_stdev","FALSE","8216","225","323","5.69","11800","h2ax","TRUE"
"63","infocus_intensity_nucleus_alexa488_quantile_75_percent_mean","FALSE","8216","136","841","273","8980","h2ax","TRUE"
"64","infocus_intensity_nucleus_alexa488_quantile_75_percent_stdev","FALSE","8216","225","448","1.41","14900","h2ax","TRUE"
"65","infocus_intensity_cell_mitotrackerdeepred_mean_2_mean","FALSE","8216","136","3480","670","41700",NA,"FALSE"
"66","infocus_intensity_cell_mitotrackerdeepred_mean_2_stdev","FALSE","8216","225","1330","13.7","33000",NA,"FALSE"
"67","infocus_intensity_cell_mitotrackerdeepred_stdev_mean","FALSE","8216","136","1380","58.1","20000","mito","TRUE"
