Individual, Viable_read , Viable_per ,Seeding_quant,,,
2233," 330,000.00 "," 660,000.00 ",202.0,,,
1840," 209,000.00 "," 418,000.00 ",319.0,,,
2285," 60,000.00 "," 120,000.00 ",1111.1,,,
2291," 345,000.00 "," 690,000.00 ",193.2,,,
3484," 219,000.00 "," 438,000.00 ",304.4,,,
2228," 567,000.00 "," 1,134,000.00 ",117.6,,,
,, -   ,#DIV/0!,,,
,, -   ,#DIV/0!,,,
3621," 70,700.00 "," 141,400.00 ",943.0,,,
2248," 180,000.00 "," 360,000.00 ",370.4,,,
3616," 64,700.00 "," 129,400.00 ",1030.4,,,
2098," 434,000.00 "," 868,000.00 ",153.6,,,
2247," 340,000.00 "," 680,000.00 ",196.1,,,
3641," 126,000.00 "," 252,000.00 ",529.1,,,
2132," 76,300.00 "," 152,600.00 ",873.7,,,
2272," 143,000.00 "," 286,000.00 ",466.2,,,
1834," 860,000.00 "," 1,720,000.00 ",77.5,,,
25," 91,500.00 "," 183,000.00 ",728.6,,,
3600," 346,000.00 "," 692,000.00 ",192.7,,,
2410," 794,000.00 "," 1,588,000.00 ",84.0,,,
3579," 40,000.00 "," 80,000.00 ",1666.7,ALL 1000,,
3646," 28,500.00 "," 57,000.00 ",2339.2,ALL 1000,,
3611," 318,000.00 "," 636,000.00 ",209.6,,,
2097," 195,000.00 "," 390,000.00 ",341.9,,,
2223," 975,000.00 "," 1,950,000.00 ",68.4,,,
2326," 785,000.00 "," 1,570,000.00 ",84.9,,,
2140," 120,000.00 "," 240,000.00 ",555.6,,,
5278," 166,000.00 "," 332,000.00 ",401.6,,,
3571," 86,600.00 "," 173,200.00 ",769.8,,,
5313," 143,000.00 "," 286,000.00 ",466.2,,,
2306," 180,000.00 "," 360,000.00 ",370.4,,,
2133," 112,000.00 "," 224,000.00 ",595.2,,,
1868," 991,000.00 "," 1,982,000.00 ",67.3,,,
3852," 515,000.00 "," 1,030,000.00 ",129.4,,,
1909," 413,000.00 "," 826,000.00 ",161.4,,,
873," 602,000.00 "," 1,204,000.00 ",110.7,,,
3814," 781,000.00 "," 1,562,000.00 ",85.4,,,
2386," 145,000.00 "," 290,000.00 ",459.8,,,
2263," 263,000.00 "," 526,000.00 ",253.5,,,
5268," 183,000.00 "," 366,000.00 ",364.3,,,
807," 127,000.00 "," 254,000.00 ",524.9,,,
3642," 390,000.00 "," 780,000.00 ",170.9,,,
3636," 45,700.00 "," 91,400.00 ",1458.8,,,
2336," 112,000.00 "," 224,000.00 ",595.2,,,
1900," 224,000.00 "," 448,000.00 ",297.6,,,
2278," 35,200.00 "," 70,400.00 ",1893.9,,,
5293," 93,500.00 "," 187,000.00 ",713.0,,,
3871," 405,000.00 "," 810,000.00 ",164.6,,,
3502," 506,000.00 "," 1,012,000.00 ",131.8,,,
1882," 183,000.00 "," 366,000.00 ",364.3,,,
5587," 348,000.00 "," 696,000.00 ",191.6,,8/24/20,
3649," 64,200.00 "," 128,400.00 ",1038.4,,,
1910," 93,700.00 "," 187,400.00 ",711.5,,,
35, 1.00 , 1.00 ,133333333.3,,,
2222," 109,000.00 "," 218,000.00 ",611.6,,,
2257," 116,000.00 "," 232,000.00 ",574.7,,,
2401," 237,000.00 "," 474,000.00 ",281.3,,,
5307," 609,000.00 "," 1,218,000.00 ",109.5,,,
843," 58,300.00 "," 116,600.00 ",1143.5,,,
2292," 712,000.00 "," 1,424,000.00 ",93.6,,,
3612," 246,000.00 "," 492,000.00 ",271.0,,,
5345," 647,000.00 "," 1,294,000.00 ",103.0,,,
3604," 369,000.00 "," 738,000.00 ",180.7,8/25/20,,
574," 124,000.00 "," 248,000.00 ",537.6,,,
2381," 162,000.00 "," 324,000.00 ",411.5,,,
3841," 1,080,000.00 "," 2,160,000.00 ",61.7,,,
2321," 575,000.00 "," 1,150,000.00 ",115.9,,,
2249," 245,000.00 "," 490,000.00 ",272.1,,,
2268," 203,000.00 "," 406,000.00 ",328.4,," 2,298.85 ",
3628," 168,000.00 "," 336,000.00 ",396.8,," 2,777.78 ",
15_20," 232,000.00 "," 464,000.00 ",287.4,," 2,011.49 ",
1919," 147,000.00 "," 294,000.00 ",453.5,," 3,174.60 ",
2387," 71,700.00 "," 143,400.00 ",929.8,," 6,508.60 ",
5316," 1,230,000.00 "," 2,460,000.00 ",54.2,, 379.40 ,
5371," 288,000.00 "," 576,000.00 ",231.5,8/31/20,,
3490," 481,000.00 "," 962,000.00 ",138.6,,,
1862," 439,000.00 "," 878,000.00 ",151.9,,,
3697," 608,000.00 "," 1,216,000.00 ",109.6,,,
1846," 23,500.00 "," 47,000.00 ",2836.9,,,
2273," 56,200.00 "," 112,400.00 ",1186.2,,,
5624," 252,000.00 "," 504,000.00 ",264.6,,,
5602," 555,000.00 "," 1,110,000.00 ",120.1,,,
3592," 656,000.00 "," 1,312,000.00 ",101.6,,,
5633," 663,000.00 "," 1,326,000.00 ",100.6,,,
5263," 644,000.00 "," 1,288,000.00 ",103.5,,,
5582," 334,000.00 "," 668,000.00 ",199.6,,,
5577," 456,000.00 "," 912,000.00 ",146.2,9/1/20,,
885," 251,000.00 "," 502,000.00 ",265.6,,,
5638," 388,000.00 "," 776,000.00 ",171.8,,,
1850," 99,400.00 "," 198,800.00 ",670.7,,,
5336," 525,000.00 "," 1,050,000.00 ",127.0,,,
2229," 161,000.00 "," 322,000.00 ",414.1,,,
5273," 896,000.00 "," 1,792,000.00 ",74.4,,,
2311," 716,000.00 "," 1,432,000.00 ",93.1,,,
5615," 144,000.00 "," 288,000.00 ",463.0,,,
2366," 311,000.00 "," 622,000.00 ",214.4,,,
26_20," 126,000.00 "," 252,000.00 ",529.1,9/14/20,,
5607," 482,000.00 "," 964,000.00 ",138.3,,,
3596," 214,000.00 "," 428,000.00 ",311.5,,,
9_20," 135,000.00 "," 270,000.00 ",493.8,,,
5669," 193,000.00 "," 386,000.00 ",345.4,,,
5361," 330,000.00 "," 660,000.00 ",202.0,,,
3817," 461,000.00 "," 922,000.00 ",144.6,,,
903," 482,000.00 "," 964,000.00 ",138.3,,,
5619," 420,000.00 "," 840,000.00 ",158.7,,,
2213," 73,300.00 "," 146,600.00 ",909.5,,,
5346," 1,640,000.00 "," 3,280,000.00 ",40.7,,,
2331," 115,000.00 "," 230,000.00 ",579.7,,,
5376," 529,000.00 "," 1,058,000.00 ",126.0,9/21/20,,
3622," 23,500.00 "," 47,000.00 ",2836.9,,,
2103," 313,000.00 "," 626,000.00 ",213.0,,,
5326," 296,000.00 "," 592,000.00 ",225.2,,,
5674," 58,300.00 "," 116,600.00 ",1143.5,,,
2376," 483,000.00 "," 966,000.00 ",138.0,,,
5651," 424,000.00 "," 848,000.00 ",157.2, ,,
3829," 358,000.00 "," 716,000.00 ",186.2,220.86,,
30_20," 144,000.00 "," 288,000.00 ",463.0,677.31,,
5572," 267,000.00 "," 534,000.00 ",249.7, ,,
2234," 178,000.00 "," 356,000.00 ",374.5,514.98,,
831," 156,000.00 "," 312,000.00 ",427.4,610.26,,
5627," 277,000.00 "," 554,000.00 ",240.7,9/22/20,,
3566, 1.00 , 1.00 ,133333333.3, ,,
8232," 350,000.00 "," 700,000.00 ",190.5,,,
3877," 177,000.00 "," 354,000.00 ",376.6,,,
879," 206,000.00 "," 412,000.00 ",323.6,,,
2099," 132,000.00 "," 264,000.00 ",505.1,,,
3631," 290,000.00 "," 580,000.00 ",229.9,,,
771, 1.00 , 1.00 ,133333333.3,,,
5592," 466,000.00 "," 932,000.00 ",143.1,,,
5660," 312,000.00 "," 624,000.00 ",213.7,,,
1878," 91,100.00 "," 182,200.00 ",731.8,,,
5308," 191,000.00 "," 382,000.00 ",349.0,,,
1856," 619,000.00 "," 1,238,000.00 ",107.7,,,
1841," 123,000.00 "," 246,000.00 ",542.0,,,
10," 156,000.00 "," 312,000.00 ",427.4,,,
527," 419,000.00 "," 838,000.00 ",159.1,,,
5321," 673,000.00 "," 1,346,000.00 ",99.1,,,
5288," 41,200.00 "," 82,400.00 ",1618.1,,,
3587," 179,000.00 "," 358,000.00 ",372.4,,,
2396," 409,000.00 "," 818,000.00 ",163.0,,,
2108," 60,000.00 "," 120,000.00 ",1111.1,,,
592," 310,000.00 "," 620,000.00 ",215.1,,,
5612," 618,000.00 "," 1,236,000.00 ",107.9,, ,
2282," 1,000.00 "," 2,000.00 ",66666.7,,,
2296," 362,000.00 "," 724,000.00 ",184.2,,,
8237," 155,000.00 "," 310,000.00 ",430.1,,,
39," 50,000.00 "," 100,000.00 ",1333.3,,,
849," 239,000.00 "," 478,000.00 ",278.9,,,
2224," 380,000.00 "," 760,000.00 ",175.4,,,
8200," 401,000.00 "," 802,000.00 ",166.3,,,
8206," 342,000.00 "," 684,000.00 ",194.9,,,
2238," 269,000.00 "," 538,000.00 ",247.8,,,
5654," 12,000.00 "," 24,000.00 ",5555.6,,,
2391, 1.00 , 1.00 ,133333333.3,,,
515," 339,000.00 "," 678,000.00 ",196.7,, ,
3678," 245,000.00 "," 490,000.00 ",272.1,,,
5657," 170,000.00 "," 340,000.00 ",392.2,9/29/20,,
5621," 545,000.00 "," 1,090,000.00 ",122.3, ,,
5597," 619,000.00 "," 1,238,000.00 ",107.7,,,
2356," 46,600.00 "," 93,200.00 ",1430.6,,,
2123," 279,000.00 "," 558,000.00 ",238.9,,,
3840," 587,000.00 "," 1,174,000.00 ",113.6,,,
5331," 671,000.00 "," 1,342,000.00 ",99.4,,,
1888," 94,000.00 "," 188,000.00 ",709.2,,,
927," 780,000.00 "," 1,560,000.00 ",85.5,,,
5677," 94,100.00 "," 188,200.00 ",708.5,,,
3582," 30,000.00 "," 60,000.00 ",2222.2,,,
3485," 186,000.00 "," 372,000.00 ",358.4,,,
5643," 115,000.00 "," 230,000.00 ",579.7,10/5/20,,
3496," 615,000.00 "," 1,230,000.00 ",108.4,,,
5381," 121,000.00 "," 242,000.00 ",551.0,,,
2351, 1.00 , 1.00 ,133333333.3,,,
593," 353,000.00 "," 706,000.00 ",188.9,,,
8209," 277,000.00 "," 554,000.00 ",240.7,,,
5666," 396,000.00 "," 792,000.00 ",168.4,,,
8224," 156,000.00 "," 312,000.00 ",427.4,,,
3608," 75,900.00 "," 151,800.00 ",878.3,,,
933," 133,000.00 "," 266,000.00 ",501.3,,,
2286," 13,000.00 "," 26,000.00 ",5128.2,,,
2128," 14,700.00 "," 29,400.00 ",4535.1,,,
2093," 170,000.00 "," 340,000.00 ",392.2,,,
2342," 158,000.00 "," 316,000.00 ",421.9,,,
5630," 620,000.00 "," 1,240,000.00 ",107.5,,,
6630," 507,000.00 "," 1,014,000.00 ",131.5,,,
3617," 4,500.00 "," 9,000.00 ",14814.8,,,
861," 602,000.00 "," 1,204,000.00 ",110.7,,,
 ," 273,000.00 "," 546,000.00 ",244.2,,,
1835," 542,000.00 "," 1,084,000.00 ",123.0,,,
605," 527,000.00 "," 1,054,000.00 ",126.5,,,
5663," 274,000.00 "," 548,000.00 ",243.3,,,
551," 109,000.00 "," 218,000.00 ",611.6,,,
8257," 267,000.00 "," 534,000.00 ",249.7,,,
5356," 200,000.00 "," 400,000.00 ",333.3,10/7/20,,
575," 132,000.00 "," 264,000.00 ",505.1,,,
897," 158,000.00 "," 316,000.00 ",421.9,,,
3691," 508,000.00 "," 1,016,000.00 ",131.2,,,
8212," 207,000.00 "," 414,000.00 ",322.1,,,
5648," 1,000.00 "," 2,000.00 ",66666.7,,,
20_20," 238,000.00 "," 476,000.00 ",280.1,,,
5351," 137,000.00 "," 274,000.00 ",486.6,,,
1894," 190,000.00 "," 380,000.00 ",350.9,,,
2316," 589,000.00 "," 1,178,000.00 ",113.2,,,
2143," 10,000.00 "," 20,000.00 ",6666.7,,,
8247," 301,000.00 "," 602,000.00 ",221.5,,,
8242," 465,000.00 "," 930,000.00 ",143.4,10/12/20,,
539," 497,000.00 "," 994,000.00 ",134.1,,,
915," 111,000.00 "," 222,000.00 ",600.6,,,
8221," 255,000.00 "," 510,000.00 ",261.4,,,
8203," 106,000.00 "," 212,000.00 ",628.9,,,
825," 153,000.00 "," 306,000.00 ",435.7,,,
2301," 106,000.00 "," 212,000.00 ",628.9,,,
2088," 104,000.00 "," 208,000.00 ",641.0,,,
5366," 222,000.00 "," 444,000.00 ",300.3,,,
1847," 111,000.00 "," 222,000.00 ",600.6,,,
2371," 76,400.00 "," 152,800.00 ",872.6,,,
1874," 124,000.00 "," 248,000.00 ",537.6,,,
5649," 17,700.00 "," 35,400.00 ",1883.2,10/13/20,3daygrowth,edited
5655," 126,000.00 "," 252,000.00 ",529.1,,,
2287, 0.00 , 0.00 ,666666666666.7,,,
3618, 0.00 , 0.00 ,666666666666.7,,,
2144," 23,400.00 "," 46,800.00 ",1424.5,,,edited
3583," 120,000.00 "," 240,000.00 ",555.6,,,
2129," 31,900.00 "," 63,800.00 ",1044.9,,,edited
3647," 67,800.00 "," 135,600.00 ",983.3,,,
8218," 291,000.00 "," 582,000.00 ",229.1,10/14/20,,
563," 429,000.00 "," 858,000.00 ",155.4,,,
2327," 14,500.00 "," 29,000.00 ",4597.7,,,
795," 551,000.00 "," 1,102,000.00 ",121.0,,,
521," 277,000.00 "," 554,000.00 ",240.7,,,
8227," 508,000.00 "," 1,016,000.00 ",131.2,,,
2411," 20,800.00 "," 41,600.00 ",3205.1,,,
891," 329,000.00 "," 658,000.00 ",202.6,,,
623," 270,000.00 "," 540,000.00 ",246.9,,,
909," 511,000.00 "," 1,022,000.00 ",130.5,,,
837," 427,000.00 "," 854,000.00 ",156.1,,,
2118," 32,400.00 "," 64,800.00 ",2057.6,,,
5427," 850,000.00 "," 1,700,000.00 ",78.4,,,
5433," 260,000.00 "," 520,000.00 ",256.4,,,
5426," 423,000.00 "," 846,000.00 ",157.6,,,
5425," 442,000.00 "," 884,000.00 ",150.8,,,
5430," 221,000.00 "," 442,000.00 ",301.7,,,
5428," 805,000.00 "," 1,610,000.00 ",82.8,,,
5432," 128,000.00 "," 256,000.00 ",520.8,,,
675," 276,000.00 "," 552,000.00 ",241.5,,,
680," 546,000.00 "," 1,092,000.00 ",122.1,,,
5431," 1,220,000.00 "," 2,440,000.00 ",54.6,,,
685," 974,000.00 "," 1,948,000.00 ",68.4,,,
5429," 373,000.00 "," 746,000.00 ",178.7,,,
921_19," 229,000.00 "," 458,000.00 ",291.1,,,
8252," 628,000.00 "," 1,256,000.00 ",106.2,,,
8360," 929,000.00 "," 1,858,000.00 ",71.8,,,
8364," 680,000.00 "," 1,360,000.00 ",98.0,,,
8371," 115,000.00 "," 230,000.00 ",579.7,,,
8368," 593,000.00 "," 1,186,000.00 ",112.4,,,
8352," 752,000.00 "," 1,504,000.00 ",88.7,,,
