field,stain
nuclei_nuclei_selected_max_per_well,hoescht
nuclei_nuclei_selected_mean_per_well,hoescht
nuclei_nuclei_selected_median_per_well,hoescht
nuclei_nuclei_selected_min_per_well,hoescht
nuclei_nuclei_selected_std_dev_per_well,hoescht
nuclei_nuclei_selected_sum_per_well,hoescht
nuclei_number_of_objects,hoescht
nuclei_selected_cell_area_mm_max_per_well,mitotracker
nuclei_selected_cell_area_mm_mean_per_well,mitotracker
nuclei_selected_cell_area_mm_median_per_well,mitotracker
nuclei_selected_cell_area_mm_min_per_well,mitotracker
nuclei_selected_cell_area_mm_std_dev_per_well,mitotracker
nuclei_selected_cell_area_mm_sum_per_well,mitotracker
nuclei_selected_cell_length_mm_max_per_well,mitotracker
nuclei_selected_cell_length_mm_mean_per_well,mitotracker
nuclei_selected_cell_length_mm_median_per_well,mitotracker
nuclei_selected_cell_length_mm_min_per_well,mitotracker
nuclei_selected_cell_length_mm_std_dev_per_well,mitotracker
nuclei_selected_cell_length_mm_sum_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_max_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_mean_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_median_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_min_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_std_dev_per_well,mitotracker
nuclei_selected_cell_ratio_width_to_length_sum_per_well,mitotracker
nuclei_selected_cell_roundness_max_per_well,mitotracker
nuclei_selected_cell_roundness_mean_per_well,mitotracker
nuclei_selected_cell_roundness_median_per_well,mitotracker
nuclei_selected_cell_roundness_min_per_well,mitotracker
nuclei_selected_cell_roundness_std_dev_per_well,mitotracker
nuclei_selected_cell_roundness_sum_per_well,mitotracker
nuclei_selected_cell_width_mm_max_per_well,mitotracker
nuclei_selected_cell_width_mm_mean_per_well,mitotracker
nuclei_selected_cell_width_mm_median_per_well,mitotracker
nuclei_selected_cell_width_mm_min_per_well,mitotracker
nuclei_selected_cell_width_mm_std_dev_per_well,mitotracker
nuclei_selected_cell_width_mm_sum_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_max_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_mean_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_median_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_min_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_std_dev_per_well,mitotracker
nuclei_selected_intensity_cell_mito_tracker_deep_red_mean_sum_per_well,mitotracker
nuclei_selected_intensity_nucleus_alexa_488_mean_max_per_well,h2ax
nuclei_selected_intensity_nucleus_alexa_488_mean_mean_per_well,h2ax
nuclei_selected_intensity_nucleus_alexa_488_mean_median_per_well,h2ax
nuclei_selected_intensity_nucleus_alexa_488_mean_min_per_well,h2ax
nuclei_selected_intensity_nucleus_alexa_488_mean_std_dev_per_well,h2ax
nuclei_selected_intensity_nucleus_alexa_488_mean_sum_per_well,h2ax
nuclei_selected_intensity_nucleus_hoechst_33342_mean_max_per_well,hoescht
nuclei_selected_intensity_nucleus_hoechst_33342_mean_mean_per_well,hoescht
nuclei_selected_intensity_nucleus_hoechst_33342_mean_median_per_well,hoescht
nuclei_selected_intensity_nucleus_hoechst_33342_mean_min_per_well,hoescht
nuclei_selected_intensity_nucleus_hoechst_33342_mean_std_dev_per_well,hoescht
nuclei_selected_intensity_nucleus_hoechst_33342_mean_sum_per_well,hoescht
nuclei_selected_nucleus_area_mm_max_per_well,hoescht
nuclei_selected_nucleus_area_mm_mean_per_well,hoescht
nuclei_selected_nucleus_area_mm_median_per_well,hoescht
nuclei_selected_nucleus_area_mm_min_per_well,hoescht
nuclei_selected_nucleus_area_mm_std_dev_per_well,hoescht
nuclei_selected_nucleus_area_mm_sum_per_well,hoescht
nuclei_selected_nucleus_roundness_max_per_well,hoescht
nuclei_selected_nucleus_roundness_mean_per_well,hoescht
nuclei_selected_nucleus_roundness_median_per_well,hoescht
nuclei_selected_nucleus_roundness_min_per_well,hoescht
nuclei_selected_nucleus_roundness_std_dev_per_well,hoescht
nuclei_selected_nucleus_roundness_sum_per_well,hoescht
nuclei_selected_number_of_objects,hoescht
